iter	Logloss
0	0.5600387029
1	0.4559500686
2	0.3972287403
3	0.3549333979
4	0.327202346
5	0.3063978399
6	0.2914537265
7	0.2791315773
8	0.2715152818
9	0.2659225379
10	0.2606305116
11	0.2523166945
12	0.248829805
13	0.2416371755
14	0.2362378777
15	0.2323267157
16	0.2291591013
17	0.2276912677
18	0.2252441022
19	0.2238247243
20	0.2212481436
21	0.2199201725
22	0.2185577091
23	0.2179170946
24	0.2170786528
25	0.2165454917
26	0.2156049737
27	0.2147219231
28	0.2138038793
29	0.2132055311
30	0.2119985683
31	0.2110157617
32	0.2105864881
33	0.2098265531
34	0.2090789929
35	0.208623997
36	0.2082610603
37	0.2077493344
38	0.2075130743
39	0.2070505813
40	0.2067105592
41	0.2062436765
42	0.2057456473
43	0.2051427699
44	0.2047298573
45	0.2044840561
46	0.2041093451
47	0.2039646227
48	0.2035006438
49	0.2025298508
50	0.2022197615
51	0.2018267518
52	0.2015630152
53	0.2013520696
54	0.2011227594
55	0.2008674237
56	0.2006508521
57	0.2004658479
58	0.2003775244
59	0.2002911621
60	0.2000505507
61	0.1999318798
62	0.1997686008
63	0.1996244404
64	0.199490718
65	0.1993395544
66	0.1991493976
67	0.1987881037
68	0.1987203213
69	0.1985932329
70	0.1979998952
71	0.1979391545
72	0.1978103709
73	0.1976428199
74	0.1975921898
75	0.1974459536
76	0.197291018
77	0.1972520498
78	0.1972206654
79	0.1970275939
80	0.1968835379
81	0.1968270236
82	0.1967174323
83	0.1966942774
84	0.1966658129
85	0.1965953984
86	0.1965096104
87	0.1962951376
88	0.1962453855
89	0.1962248907
90	0.1960944367
91	0.1959321028
92	0.1959038739
93	0.1957238619
94	0.1954455323
95	0.1954180051
96	0.1953321164
97	0.1953006447
98	0.1952462784
99	0.1951742709
100	0.1951303157
101	0.1950702504
102	0.1950461126
103	0.194986675
104	0.1948911818
105	0.194863662
106	0.1947291544
107	0.1947083173
108	0.1946364302
109	0.1945330134
110	0.1944904536
111	0.1944696171
112	0.1942230249
113	0.1942002282
114	0.1940158783
115	0.1939940758
116	0.1939150571
117	0.1938858859
118	0.1938682384
119	0.1937969867
120	0.1937676723
121	0.1935622554
122	0.1935371572
123	0.1933456703
124	0.1933213739
125	0.1933001375
126	0.1932758347
127	0.1932418581
128	0.1932174888
129	0.1931367963
130	0.1931009808
131	0.1929505007
132	0.1929326801
133	0.1929155151
134	0.1928961245
135	0.1928731757
136	0.1928405336
137	0.1928216797
138	0.1927645717
139	0.1926395339
140	0.1924873065
141	0.1924635272
142	0.1924385956
143	0.19241193
144	0.192382366
145	0.1923573192
146	0.1922440829
147	0.192176221
148	0.1920659608
149	0.1920051981
150	0.1919744325
151	0.1919536201
152	0.1919085653
153	0.19188004
154	0.1918607934
155	0.191756473
156	0.1916959165
157	0.1916695033
158	0.191515461
159	0.1914728153
160	0.1914314779
161	0.1914021472
162	0.1913656908
163	0.1913252777
164	0.1911460217
165	0.1911187186
166	0.191054613
167	0.1910335131
168	0.1910097591
169	0.1909345088
170	0.190898501
171	0.1908772376
172	0.1908512947
173	0.190821347
174	0.1907863799
175	0.1907020088
176	0.190677262
177	0.1906479928
178	0.1906208708
179	0.1906006389
180	0.1905870439
181	0.190568618
182	0.1905360888
183	0.1905113428
184	0.1904878105
185	0.1904597373
186	0.1903789592
187	0.1903626193
188	0.19033402
189	0.1903136167
190	0.1902995369
191	0.1902786318
192	0.1902389523
193	0.1902177257
194	0.1901980129
195	0.1900753799
196	0.1900095025
197	0.1899912683
198	0.189969945
199	0.1899513106
200	0.189933389
201	0.1899010817
202	0.1898819911
203	0.1898653709
204	0.1898379074
205	0.1898179969
206	0.1897828599
207	0.1897637402
208	0.1897395926
209	0.1897184126
210	0.1896962291
211	0.1896676775
212	0.1896499185
213	0.1896234076
214	0.1896008595
215	0.1895855264
216	0.1895229326
217	0.1895001958
218	0.1894752341
219	0.1894600945
220	0.1894393251
221	0.189415357
222	0.189380382
223	0.1893619289
224	0.1893435275
225	0.1893238271
226	0.1893011884
227	0.1892793754
228	0.1892509329
229	0.189225961
230	0.1892029297
231	0.1891742058
232	0.1891527914
233	0.189133276
234	0.1891017159
235	0.1890401766
236	0.1890197133
237	0.1889934336
238	0.1889786326
239	0.1888181002
240	0.1888073062
241	0.1887822905
242	0.1887588701
243	0.1887369755
244	0.188692032
245	0.188676351
246	0.1886585734
247	0.1886329662
248	0.1886080151
249	0.1885908145
250	0.1885685333
251	0.1885394451
252	0.1885197876
253	0.1884857202
254	0.1884671847
255	0.1884520322
256	0.188372604
257	0.1883195796
258	0.1882958655
259	0.1882780086
260	0.1882593988
261	0.1882287908
262	0.1882092113
263	0.1881877372
264	0.1881747788
265	0.1881525699
266	0.1881292348
267	0.1881004403
268	0.1880793532
269	0.1880639234
270	0.1880432105
271	0.1880219981
272	0.1880040918
273	0.1879589996
274	0.1879413097
275	0.187923961
276	0.187904317
277	0.1878784135
278	0.1877631891
279	0.1877506223
280	0.1877237746
281	0.187705783
282	0.1876336065
283	0.187609691
284	0.1875957883
285	0.1875778606
286	0.1875384987
287	0.1875177577
288	0.1874958325
289	0.1874726049
290	0.1874512297
291	0.1874341878
292	0.1874119462
293	0.1873910959
294	0.1873741875
295	0.1873517498
296	0.1873269273
297	0.1873157623
298	0.1872885522
299	0.1872702862
300	0.1871143462
301	0.1870818333
302	0.1870638315
303	0.1870248829
304	0.1870076001
305	0.1869875477
306	0.1869421641
307	0.1869244962
308	0.1868969842
309	0.1868783209
310	0.1868582042
311	0.1868444123
312	0.1868296572
313	0.1868052853
314	0.1867776796
315	0.1867637807
316	0.1867162943
317	0.1866974812
318	0.1866677827
319	0.1866128989
320	0.1865963951
321	0.186577408
322	0.1865628894
323	0.1865414949
324	0.1865202333
325	0.1865028313
326	0.1864847599
327	0.1864542861
328	0.1864358726
329	0.1864161669
330	0.1864021008
331	0.1863832796
332	0.1863620208
333	0.1863259868
334	0.1863033617
335	0.1862839152
336	0.1862687508
337	0.186250435
338	0.1862297486
339	0.1862119226
340	0.1861876463
341	0.186163171
342	0.186137115
343	0.1861158934
344	0.1861015091
345	0.1860830416
346	0.1860700545
347	0.1860470014
348	0.1860312388
349	0.186015833
350	0.1859925877
351	0.1859752565
352	0.1859097246
353	0.1858876926
354	0.1858273474
355	0.1858039359
356	0.1857838355
357	0.1857688783
358	0.1857530318
359	0.1857112388
360	0.1856891149
361	0.185672258
362	0.1856540123
363	0.185633134
364	0.1856187562
365	0.185599143
366	0.1855753325
367	0.1855541375
368	0.1855355832
369	0.1855234686
370	0.185504431
371	0.1854898741
372	0.1854753812
373	0.185453071
374	0.185434083
375	0.1854157861
376	0.1854032323
377	0.1853771129
378	0.1853615471
379	0.1853113859
380	0.1852945728
381	0.1852738463
382	0.185256574
383	0.1852162642
384	0.1851961459
385	0.1851686499
386	0.1851453542
387	0.1851194636
388	0.1851038952
389	0.1850841917
390	0.1850673655
391	0.1850432072
392	0.1850281985
393	0.1850142224
394	0.1849950189
395	0.1849825304
396	0.1849660311
397	0.1849456058
398	0.1849248912
399	0.1849080555
400	0.1848902969
401	0.1848639713
402	0.1848443558
403	0.1848263581
404	0.1848069604
405	0.1847904713
406	0.1847684329
407	0.1847521267
408	0.1847388348
409	0.1847192385
410	0.1847038449
411	0.184690111
412	0.1846740173
413	0.1846523491
414	0.1846187184
415	0.1845974354
416	0.1845813351
417	0.1845575973
418	0.1845352862
419	0.1845183411
420	0.184502481
421	0.1844851868
422	0.1844708329
423	0.1844536913
424	0.1844352576
425	0.1844157524
426	0.1844006363
427	0.1843790735
428	0.1843641069
429	0.184349965
430	0.1843379362
431	0.1843258875
432	0.1843085761
433	0.1842896107
434	0.184270123
435	0.1842566918
436	0.1842381421
437	0.1842170395
438	0.184205902
439	0.1841899446
440	0.1841759748
441	0.1841583988
442	0.1841358992
443	0.1841236353
444	0.1841119668
445	0.1840964438
446	0.1840811023
447	0.1840668379
448	0.1840533535
449	0.1840351459
450	0.1840133157
451	0.1839739227
452	0.1839572094
453	0.1839355986
454	0.1839211034
455	0.18390098
456	0.1838891782
457	0.1838731333
458	0.1838537308
459	0.1838367769
460	0.1838164096
461	0.1837999673
462	0.1837826866
463	0.183750534
464	0.1837280137
465	0.183708755
466	0.1836939699
467	0.1836581408
468	0.1836366988
469	0.1836240203
470	0.1836088498
471	0.1835975925
472	0.1835505259
473	0.1835284351
474	0.1835045083
475	0.1834909508
476	0.1834679767
477	0.1834550955
478	0.1834371762
479	0.1834162478
480	0.183388481
481	0.1833710221
482	0.1833506939
483	0.1833315475
484	0.1833110366
485	0.1832966819
486	0.183280749
487	0.1832626448
488	0.1832363578
489	0.1831936961
490	0.1831788259
491	0.1831580301
492	0.1831419766
493	0.1831205422
494	0.1831105222
495	0.1830960462
496	0.1830804806
497	0.1830642174
498	0.1830529583
499	0.1830374455
500	0.1830173516
501	0.1829988233
502	0.1829827763
503	0.1829688303
504	0.182948145
505	0.1829357062
506	0.1829208594
507	0.1829039359
508	0.1828880208
