iter	Passed	Remaining
0	227	227505
1	269	134566
2	303	100829
3	335	83455
4	370	73743
5	406	67401
6	447	63442
7	486	60343
8	528	58195
9	567	56199
10	611	54972
11	652	53695
12	690	52423
13	728	51328
14	764	50230
15	804	49474
16	848	49072
17	895	48867
18	937	48393
19	983	48207
20	1021	47631
21	1061	47170
22	1099	46713
23	1139	46332
24	1190	46410
25	1233	46218
26	1298	46779
27	1362	47311
28	1421	47595
29	1474	47659
30	1517	47422
31	1559	47166
32	1605	47057
33	1648	46846
34	1694	46723
35	1734	46454
36	1782	46387
37	1837	46508
38	1904	46939
39	1959	47032
40	2003	46872
41	2041	46569
42	2081	46315
43	2124	46158
44	2161	45881
45	2203	45698
46	2247	45575
47	2292	45465
48	2344	45499
49	2395	45513
50	2464	45850
51	2527	46079
52	2581	46126
53	2636	46180
54	2683	46101
55	2742	46235
56	2810	46504
57	2873	46665
58	2917	46527
59	2959	46367
60	3004	46243
61	3052	46174
62	3093	46014
63	3140	45929
64	3188	45859
65	3230	45720
66	3280	45684
67	3335	45714
68	3382	45637
69	3430	45578
70	3478	45509
71	3522	45401
72	3560	45219
73	3598	45035
74	3640	44893
75	3682	44770
76	3730	44712
77	3778	44665
78	3833	44697
79	3930	45203
80	3993	45307
81	4038	45214
82	4098	45277
83	4148	45236
84	4183	45037
85	4221	44863
86	4262	44728
87	4303	44596
88	4348	44512
89	4398	44473
90	4439	44350
91	4489	44307
92	4538	44258
93	4581	44154
94	4632	44128
95	4683	44098
96	4730	44035
97	4772	43924
98	4809	43767
99	4850	43654
100	4889	43522
101	4926	43375
102	4971	43293
103	5018	43237
104	5069	43214
105	5125	43227
106	5169	43143
107	5216	43087
108	5256	42964
109	5295	42844
110	5334	42724
111	5374	42609
112	5425	42584
113	5475	42552
114	5518	42470
115	5560	42373
116	5604	42299
117	5664	42336
118	5701	42210
119	5742	42114
120	5784	42022
121	5828	41945
122	5880	41928
123	5925	41859
124	5984	41893
125	6026	41803
126	6069	41720
127	6111	41631
128	6154	41556
129	6203	41513
130	6244	41423
131	6285	41331
132	6321	41210
133	6359	41096
134	6399	41003
135	6433	40869
136	6472	40772
137	6505	40635
138	6540	40515
139	6575	40390
140	6609	40267
141	6646	40161
142	6681	40042
143	6716	39927
144	6751	39813
145	6788	39707
146	6827	39619
147	6862	39508
148	6896	39389
149	6936	39306
150	6979	39244
151	7016	39143
152	7051	39036
153	7086	38928
154	7127	38858
155	7162	38749
156	7198	38652
157	7238	38573
158	7274	38478
159	7308	38369
160	7348	38296
161	7383	38194
162	7420	38105
163	7455	38005
164	7490	37908
165	7526	37815
166	7569	37754
167	7614	37712
168	7655	37642
169	7697	37583
170	7734	37497
171	7772	37416
172	7809	37331
173	7847	37254
174	7888	37189
175	7933	37140
176	7971	37066
177	8010	36991
178	8050	36924
179	8093	36870
180	8142	36842
181	8184	36785
182	8225	36720
183	8263	36645
184	8302	36577
185	8343	36514
186	8385	36458
187	8429	36406
188	8469	36343
189	8508	36273
190	8549	36211
191	8587	36141
192	8628	36077
193	8672	36029
194	8716	35984
195	8757	35922
196	8798	35865
197	8841	35813
198	8879	35742
199	8920	35683
200	8957	35605
201	8992	35523
202	9030	35454
203	9068	35386
204	9105	35312
205	9145	35248
206	9184	35183
207	9224	35122
208	9264	35061
209	9303	34997
210	9344	34941
211	9379	34865
212	9413	34782
213	9449	34707
214	9485	34634
215	9525	34574
216	9560	34497
217	9600	34439
218	9640	34378
219	9677	34310
220	9715	34244
221	9755	34189
222	9801	34151
223	9849	34122
224	9898	34096
225	9943	34054
226	9986	34006
227	10019	33926
228	10056	33858
229	10091	33785
230	10127	33713
231	10161	33637
232	10199	33574
233	10235	33506
234	10269	33432
235	10305	33362
236	10341	33292
237	10378	33228
238	10412	33153
239	10449	33090
240	10486	33027
241	10522	32958
242	10557	32888
243	10592	32819
244	10626	32748
245	10662	32679
246	10696	32610
247	10732	32544
248	10769	32480
249	10806	32419
250	10844	32362
251	10881	32298
252	10917	32235
253	10952	32168
254	10988	32103
255	11023	32037
256	11058	31971
257	11096	31914
258	11133	31852
259	11168	31788
260	11209	31739
261	11252	31696
262	11287	31631
263	11323	31568
264	11363	31517
265	11400	31457
266	11436	31396
267	11469	31328
268	11506	31267
269	11542	31208
270	11579	31149
271	11617	31093
272	11655	31038
273	11695	30989
274	11731	30929
275	11771	30879
276	11811	30829
277	11851	30779
278	11887	30721
279	11926	30666
280	11966	30617
281	12002	30560
282	12035	30494
283	12070	30430
284	12105	30370
285	12140	30307
286	12173	30242
287	12211	30188
288	12251	30140
289	12286	30080
290	12321	30021
291	12356	29960
292	12393	29904
293	12427	29843
294	12463	29786
295	12501	29734
296	12550	29706
297	12592	29664
298	12633	29619
299	12672	29568
300	12706	29507
301	12743	29453
302	12779	29396
303	12813	29336
304	12850	29282
305	12888	29230
306	12924	29174
307	12959	29116
308	12994	29059
309	13030	29002
310	13074	28966
311	13112	28914
312	13154	28872
313	13192	28821
314	13232	28776
315	13272	28728
316	13309	28675
317	13349	28630
318	13392	28589
319	13435	28549
320	13476	28506
321	13516	28460
322	13559	28419
323	13600	28377
324	13641	28332
325	13683	28290
326	13725	28247
327	13766	28204
328	13810	28167
329	13856	28133
330	13896	28086
331	13936	28040
332	13972	27986
333	14007	27930
334	14045	27881
335	14082	27829
336	14117	27775
337	14152	27718
338	14187	27663
339	14225	27614
340	14264	27567
341	14301	27514
342	14341	27471
343	14376	27415
344	14414	27367
345	14453	27319
346	14497	27281
347	14534	27231
348	14571	27180
349	14607	27128
350	14644	27077
351	14679	27022
352	14715	26971
353	14751	26918
354	14788	26869
355	14821	26811
356	14857	26759
357	14894	26710
358	14933	26664
359	14968	26610
360	15006	26563
361	15042	26512
362	15079	26461
363	15120	26419
364	15155	26366
365	15194	26320
366	15232	26273
367	15271	26227
368	15312	26184
369	15351	26138
370	15385	26084
371	15418	26028
372	15455	25980
373	15493	25932
374	15530	25884
375	15568	25837
376	15604	25787
377	15639	25734
378	15676	25686
379	15709	25630
380	15743	25577
381	15779	25528
382	15822	25489
383	15862	25445
384	15900	25399
385	15936	25349
386	15971	25298
387	16005	25245
388	16037	25190
389	16079	25149
390	16117	25103
391	16152	25052
392	16185	24999
393	16222	24950
394	16259	24904
395	16296	24856
396	16330	24804
397	16368	24758
398	16403	24708
399	16438	24657
400	16475	24610
401	16509	24559
402	16545	24509
403	16584	24466
404	16623	24421
405	16661	24376
406	16695	24325
407	16730	24276
408	16765	24226
409	16801	24177
410	16834	24125
411	16871	24078
412	16905	24027
413	16942	23981
414	16978	23933
415	17014	23885
416	17048	23835
417	17086	23790
418	17126	23748
419	17164	23703
420	17200	23656
421	17240	23614
422	17276	23566
423	17314	23521
424	17353	23477
425	17389	23430
426	17427	23386
427	17462	23337
428	17503	23297
429	17557	23273
430	17600	23235
431	17642	23196
432	17681	23152
433	17716	23104
434	17753	23058
435	17791	23014
436	17829	22970
437	17868	22927
438	17909	22886
439	17946	22840
440	17981	22792
441	18014	22742
442	18058	22705
443	18097	22662
444	18140	22624
445	18178	22580
446	18216	22536
447	18255	22493
448	18295	22451
449	18335	22410
450	18373	22365
451	18414	22325
452	18455	22284
453	18493	22241
454	18532	22198
455	18572	22156
456	18611	22113
457	18665	22089
458	18704	22045
459	18748	22008
460	18787	21965
461	18827	21924
462	18864	21879
463	18900	21833
464	18939	21790
465	18976	21746
466	19017	21705
467	19059	21666
468	19096	21620
469	19132	21574
470	19170	21531
471	19209	21488
472	19249	21447
473	19285	21401
474	19324	21358
475	19360	21312
476	19396	21267
477	19430	21219
478	19469	21177
479	19506	21131
480	19540	21083
481	19575	21037
482	19615	20995
483	19648	20947
484	19684	20901
