iter	Passed	Remaining
0	17	3499
1	26	2633
2	37	2447
3	48	2379
4	57	2237
5	65	2123
6	74	2042
7	82	1978
8	92	1961
9	100	1901
10	108	1856
11	115	1806
12	123	1782
13	131	1751
14	140	1735
15	150	1726
16	158	1710
17	168	1701
18	176	1678
19	184	1662
20	193	1652
21	202	1641
22	211	1627
23	220	1615
24	229	1604
25	239	1601
26	248	1591
27	256	1577
28	264	1562
29	273	1550
30	282	1540
31	292	1533
32	301	1524
33	310	1514
34	319	1506
35	327	1494
36	336	1483
37	345	1472
38	353	1461
39	362	1451
40	371	1442
41	381	1433
42	390	1426
43	400	1418
44	409	1410
45	418	1402
46	428	1393
47	437	1383
48	445	1373
49	454	1364
50	463	1353
51	472	1344
52	479	1331
53	488	1321
54	497	1311
55	507	1304
56	517	1297
57	526	1290
58	537	1283
59	546	1274
60	555	1265
61	565	1259
62	574	1249
63	584	1241
64	592	1231
65	602	1222
66	611	1213
67	620	1203
68	630	1196
69	639	1187
70	648	1177
71	657	1169
72	667	1160
73	677	1152
74	685	1143
75	695	1134
76	704	1125
77	714	1117
78	723	1108
79	733	1099
80	742	1090
81	751	1081
82	760	1072
83	769	1062
84	778	1053
85	787	1043
86	794	1032
87	803	1023
88	813	1014
89	821	1004
90	830	994
91	840	986
92	850	978
93	861	971
94	870	962
95	879	952
96	888	943
97	898	935
98	908	926
99	919	919
100	929	910
101	940	903
102	950	894
103	959	885
104	970	877
105	979	868
106	988	859
107	998	850
108	1007	841
109	1017	832
110	1026	822
111	1036	814
112	1046	805
113	1057	797
114	1066	788
115	1075	779
116	1085	770
117	1095	761
118	1105	752
119	1115	743
120	1124	734
121	1134	725
122	1144	716
123	1154	707
124	1164	698
125	1175	690
126	1184	680
127	1196	673
128	1209	665
129	1219	656
130	1230	648
131	1241	639
132	1253	631
133	1263	622
134	1272	612
135	1282	603
136	1291	593
137	1301	584
138	1310	575
139	1319	565
140	1327	555
141	1337	546
142	1347	537
143	1356	527
144	1365	518
145	1374	508
146	1383	498
147	1392	489
148	1401	479
149	1410	470
150	1419	460
151	1428	451
152	1437	441
153	1446	432
154	1456	422
155	1465	413
156	1474	403
157	1483	394
158	1493	385
159	1501	375
160	1510	365
161	1520	356
162	1528	346
163	1537	337
164	1547	328
165	1555	318
166	1565	309
167	1574	299
168	1583	290
169	1592	281
170	1601	271
171	1610	262
172	1620	252
173	1629	243
174	1638	234
175	1647	224
176	1655	215
177	1665	205
178	1674	196
179	1683	187
180	1691	177
181	1700	168
182	1709	158
183	1719	149
184	1728	140
185	1737	130
186	1746	121
187	1755	112
188	1764	102
189	1773	93
190	1782	83
191	1791	74
192	1801	65
193	1810	55
194	1818	46
195	1827	37
196	1836	27
197	1846	18
198	1855	9
199	1863	0
